"int_id","StreetLength"
1,51.0931001701174
2,51.0960205691327
3,51.1532453749986
4,13.9950635552032
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,27.4966717344902
65,57.3112278356891
66,17.877793405346
67,0
68,0
69,0
70,0
71,59.4619041341625
72,42.1043346757506
73,38.2156053598451
74,0
75,0
76,0
77,36.2811164447709
78,50.5056593946131
79,50.811495820531
80,50.737861262048
81,50.0766516581589
82,88.4498118048994
83,50.4992094158149
84,51.1350751650008
85,50.4551826500224
86,50.2939877087431
87,50.1418021688395
88,50.2532496662237
89,50.2532496662179
90,50.6643767668616
91,51.063205225613
92,22.0369985558673
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,68.8023763758711
117,31.9632839459098
118,16.8886085868112
119,39.9325489257861
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,106.744531670508
131,30.7280656926097
132,0
133,28.6698667166025
134,57.124703309221
135,16.8075135819534
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,24.5802053626078
148,30.3133796850334
149,0
150,0
151,0
152,12.9493218350998
153,54.8487648410671
154,67.7000672447599
155,85.4614592853896
156,0
157,0
158,0
159,0
160,0
161,0
162,46.6211393461287
163,37.5906982011181
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,37.8008173909023
176,50.4169467116169
177,77.5654995028074
178,100.730670341004
179,100.744816568119
180,100.860413346932
181,100.832436486119
182,96.7628055032347
183,50.4890955697242
184,100.817482348005
185,12.8456025451352
186,0
187,0
188,52.3091929767332
189,0
190,18.7572545106102
191,131.571876643348
192,39.4416173989209
193,55.8996135498266
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,59.3422828993121
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
